Line Name	Line Synonym	Grain Yield (kg ha -1)	Plant Height (centimeter)	Heading Date (days from planting)	Plump Grain (% by wt on 6/64” sieve )	Grain Protein (kg ha -1)	Stem Length (centimeter)	Kernel Weight (milligram)	Barley Color (&deg;asbc)	Malt Extract (percent)	Wort Color (asbc)	Wort Protein (percent)	Soluble Protein/ Total Protein (percent)	Diastatic Power (&deg;asbc)	Alpha Amylase (20&deg;du)	Malt Beta-glucan (parts per million)	Residual Beta-glucanase (percent)	Beta-glucanase Activity (u/kg malt)	Beta-glucanase Thermostability (u/kg malt)	Check
MN04-11	07MN-59	5567	86	49.5	57.2	14.248433774117	79	28.766292116614	83	78.238228078102	1.73	5.47	39.567260523826	195	72.985661407855	238	53.339097859983	398.27208835341	212.43473895582	0
MN04-13	07MN-60	6017	93	50.5	65.8	13.385163881051	85	28.791878527896	80	77.60105882168	1.51	5.01	38.632959651432	166	70.677516412956	285	61.126268296299	472.65718862635	288.91770124149	0
MN04-15	07MN-61	5698	91	50	89.2	14.751877170139	83.5	33.461039093066	78	77.632747809724	1.49	5.32	36.390536523692	180	62.79429206317	228	63.803120729072	474.83306993283	302.9583168708	0
MN04-17	07MN-62	5836	87	50	54.7	14.242760722839	80	28.350311834913	79	77.473398594577	1.63	5.14	37.824520569992	219	73.181270559165	165	58.195556801564	527.59144513292	307.03477913252	0
MN04-19	07MN-63	5853	87	50	48.3	14.617918199524	80	28.781262096647	76	78.201922196208	1.97	6.10	43.242296918768	233	93.19251620863	87	61.208654363737	622.345	380.929	0
MN04-21	07MN-64	5386	86	49	47.3	14.162361111111	78.5	33.094318808605	79	78.035439182873	2.29	6.37	47.209501346302	211	94.640996290277	129	58.900868028812	540.10324779471	318.12550120289	0
MN04-23	07MN-65	6263	93.5	48	83.7	13.251877682403	86.5	27.464755528313	82	78.402077241428	1.83	4.66	37.438933115602	167	70.526232424846	193	61.560403392548	472.75084779573	291.02732894474	0
MN04-25	07MN-66	4808	87.5	48	42.5	14.044730844367	80.5	28.323613421716	84	77.739600178478	1.65	5.45	41.488104193084	191	86.141136343495	73	53.002400542791	576.55083399523	305.58578236696	0
MN04-27	07MN-67	5927	90.5	48	53.8	14.182683759757	84	28.189847498548	83	77.826820765882	1.71	5.38	38.627856939877	201	87.31732488533	125	63.201369458299	572.31947483589	361.71374577283	0
MN04-29	07MN-68	5537	88	48	58.9	13.54162205278	81	27.45748336693	89	77.356129903559	1.83	4.49	34.902487934948	208	74.785631803643	144	58.424015901373	538.47085466719	314.59629775502	0
