CAPLINE(OPTIONAL)	LINE_NAME	PARENT_1	PARENT_2	contrib_1	contrib_2	selfing_1	selfing_2	Text pedigree	
06MT-66	MT050193	MT970116	HAXBY	0.5	0.5	FN	FN	MT970116/Haxby
06MT-67	MT050195	MT970116	HAXBY	0.5	0.5	FN	FN	MT970116/Haxby
06MT-68	MT050197	MT970116	MT960101	0.5	0.5	FN	FN	MT970116/MT960101
06MT-69	MT050198	MT970116	MT960101	0.5	0.5	FN	FN	MT970116/MT960101
06MT-70	MT050199	MT970116	MT960101	0.5	0.5	FN	FN	MT970116/MT960101
06MT-71	MT050200	MT970116	MT960222	0.5	0.5	FN	FN	MT970116/MT960222
06MT-72	MT050201	MT970116	MT960222	0.5	0.5	FN	FN	MT970116/MT960222
06MT-73	MT050203	MT970116	MTLB5	0.5	0.5	FN	FN	MT970116/MTLB   5
06MT-74	MT050204	MT970116	MTLB5	0.5	0.5	FN	FN	MT970116/MTLB   5
06MT-75	MT050205	MT970116	MTLB5	0.5	0.5	FN	FN	MT970116/MTLB   5
06MT-76	MT050206	MTLB5	MT960099	0.5	0.5	FN	FN	MTLB   5/MT960099
06MT-77	MT050207	MTLB5	MT960099	0.5	0.5	FN	FN	MTLB   5/MT960099
06MT-78	MT050209	MTLB5	MT960099	0.5	0.5	FN	FN	MTLB   5/MT960099
06MT-79	MT050210	MTLB5	MT960099	0.5	0.5	FN	FN	MTLB   5/MT960099
06MT-80	MT050211	MTLB5	MT960099	0.5	0.5	FN	FN	MTLB   5/MT960099
06MT-81	MT050212	MTLB5	MT960099	0.5	0.5	FN	FN	MTLB   5/MT960099
06MT-82	MT050214	MTLB5	MT960222	0.5	0.5	FN	FN	MTLB   5/MT960222
06MT-83	MT050218	MTLB6	LK2-118	0.5	0.5	FN	FN	MTLB   6/LK2-118
06MT-84	MT050220	MTLB6	MT960101	0.5	0.5	FN	FN	MTLB   6/MT960101
06MT-85	MT050221	MTLB6	MT960101	0.5	0.5	FN	FN	MTLB   6/MT960101
06MT-86	MT050222	MTLB6	MT960101	0.5	0.5	FN	FN	MTLB   6/MT960101
06MT-87	MT050223	MTLB6	MT960225	0.5	0.5	FN	FN	MTLB   6/MT960225
06MT-88	MT050224	MTLB6	MT960225	0.5	0.5	FN	FN	MTLB   6/MT960225
06MT-89	MT050231	CDC_STRATUS	MT960225	0.5	0.5	FN	FN	CDC Stratus/MT960225
06MT-90	MT050232	CDC_STRATUS	MT960225	0.5	0.5	FN	FN	CDC Stratus/MT960225
06MT-91	MT050234	CDC_STRATUS	MT960225	0.5	0.5	FN	FN	CDC Stratus/MT960225
06MT-92	MT050235	CDC_STRATUS	MT960225	0.5	0.5	FN	FN	CDC Stratus/MT960225
06MT-93	MT050236	CDC_STRATUS	MT960225	0.5	0.5	FN	FN	CDC Stratus/MT960225
06MT-94	MT050238	CDC_STRATUS	MT970110	0.5	0.5	FN	FN	CDC Stratus/MT970110
06MT-95	MT050239	VALIER	MT970110	0.5	0.5	FN	FN	Valier/MT970110
06MT-96	MT050241	VALIER	MT970110	0.5	0.5	FN	FN	Valier/MT970110
